,offer_name,link_to_offer,price,country,placed,condition
206,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1268015,€50,spain,3 years ago,N
207,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1224056,€55,spain,3 years ago,N
208,Through the Ages: Eine neue Geschichte der Zivilisation (German second edition) (2015),https://boardgamegeek.com/geekmarket/product/1191035,€39,spain,3 years ago,N
209,Through the Ages: Rivivi la Storia della Civiltà (Italian edition) (2015),https://boardgamegeek.com/geekmarket/product/1172143,€60,spain,3 years ago,N
210,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1083787,€40,spain,3 years ago,LN
211,Through the Ages: Eine neue Geschichte der Zivilisation (German second edition) (2015),https://boardgamegeek.com/geekmarket/product/1073955,€40,spain,3 years ago,N
212,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/971338,$160,spain,4 years ago,N
213,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/936365,£35,spain,2 years ago,N
214,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/910313,€60,spain,4 years ago,N
215,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/869170,€45,spain,2 years ago,N
216,Through the Ages: Rivivi la Storia della Civiltà (Italian edition) (2015),https://boardgamegeek.com/geekmarket/product/812801,€60,italy,4 years ago,N
217,Through the Ages: Rivivi la Storia della Civiltà (Italian edition) (2015),https://boardgamegeek.com/geekmarket/product/812726,€60,italy,4 years ago,N
218,Star Wars: Rebellion,https://boardgamegeek.com/geekmarket/product/2073367,$70,usa,16 hours ago,VG
219,Star Wars: Rebellion (English edition) (2016),https://boardgamegeek.com/geekmarket/product/2072882,€99,usa,1 day ago,N
220,Star Wars: Rebellion,https://boardgamegeek.com/geekmarket/product/2071382,$75,usa,3 days ago,LN
221,Star Wars: Rebellion (English edition) (2016),https://boardgamegeek.com/geekmarket/product/2069092,$65,usa,6 days ago,N
222,Star Wars: Rebellion (Italian edition) (2016),https://boardgamegeek.com/geekmarket/product/2067557,€99,usa,8 days ago,N
223,Star Wars: Rebellion (English edition) (2016),https://boardgamegeek.com/geekmarket/product/2067551,€99,usa,8 days ago,N
224,Star Wars: Rebellion (German edition) (2016),https://boardgamegeek.com/geekmarket/product/2063745,€50,usa,10 days ago,VG
225,Star Wars: Rebellion (English edition) (2016),https://boardgamegeek.com/geekmarket/product/2062203,$70,usa,11 days ago,G
